nama_provinsi,kode_provinsi,tahun,bulan,capaian_pengadaan,capaian_kontrak,capaian_pelaksanaan,capaian_PHO,latitude,longitude
"Prov. Nanggroe Aceh Darussalam",1100,2012,1,52,,,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,2,98,,,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,3,99,28,3,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,4,99,35,7,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,5,99,44,18,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,6,99,67,32,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,7,99,85,53,15,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,8,99,95,75,26,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,9,99,98,84,28,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,10,99,99,89,33,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,11,100,100,100,70,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2012,12,,100,100,100,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,1,,,,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,2,73,,,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,3,98,,,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,4,99,18,2,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,5,99,60,15,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,6,99,84,28,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,7,99,96.3,83.2,5.8,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,8,99,96.3,86.84,12.87,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,9,99,99,97,36,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,10,,,,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,11,,,,,5.55,95.31667
"Prov. Nanggroe Aceh Darussalam",1100,2013,12,,,,,5.55,95.31667
"Prov. Sumatera Utara",1200,2012,1,,,,,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,2,4,,,,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,3,9,3,2,,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,4,20,4.06,2.43,,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,5,44,17,14,1,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,6,60,36,33,3,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,7,73,53,51,10,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,8,81,70,68,17,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,9,90,80.56,79.9,44.24,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,10,95,90.39,89.95,65.52,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,11,100,100,100,81.26,3.583333,98.66666
"Prov. Sumatera Utara",1200,2012,12,,,100,99.73,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,1,.97,,,,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,2,12.95,,,,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,3,31.25,4.52,3.92,.34,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,4,56.17,21.39,16.42,.34,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,5,80.27,53.16,51.05,5.12,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,6,90.06,71.54,69.58,10.39,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,7,91.87,84.19,82.08,16.42,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,8,95.48,90.51,89.16,20.78,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,9,97.34,94.68,93.84,35.01,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,10,97.34,96.64,96.36,51.82,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,11,,,,,3.583333,98.66666
"Prov. Sumatera Utara",1200,2013,12,,,,,3.583333,98.66666
"Prov. Sumatera Barat",1300,2012,1,7.59,,,,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,2,10.19,,,,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,3,12.78,12.22,9.44,,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,4,25.37,15.19,12.78,6.11,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,5,59.63,31.82,18.7,7.22,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,6,76.85,44.26,23.15,9.81,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,7,80.93,65.93,36.11,12.96,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,8,84.07,77.96,52.22,15.74,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,9,,,,,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,10,,,,,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,11,,,,,-.95,100.3531
"Prov. Sumatera Barat",1300,2012,12,,,,,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,1,3.7,,,,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,2,26.23,,,,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,3,40.34,13.41,10.71,10.01,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,4,51.25,17.22,12.31,10.11,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,5,81.37,51.76,21.12,10.15,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,6,94.36,77.46,64.22,51.27,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,7,96.24,78.95,68.42,51.63,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,8,97.49,92.98,89.22,64.16,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,9,100,100,98.33,77.67,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,10,,100,100,81.53,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,11,,,,,-.95,100.3531
"Prov. Sumatera Barat",1300,2013,12,,,,,-.95,100.3531
"Prov. Riau",1400,2012,1,,,,,.4816667,101.4686
"Prov. Riau",1400,2012,2,,,,,.4816667,101.4686
"Prov. Riau",1400,2012,3,,,,,.4816667,101.4686
"Prov. Riau",1400,2012,4,,,,,.4816667,101.4686
"Prov. Riau",1400,2012,5,,,,,.4816667,101.4686
"Prov. Riau",1400,2012,6,,,,,.4816667,101.4686
"Prov. Riau",1400,2012,7,,,,,.4816667,101.4686
"Prov. Riau",1400,2012,8,78.06,100,78.06,59.33,.4816667,101.4686
"Prov. Riau",1400,2012,9,98.65,100,98.65,61.47,.4816667,101.4686
"Prov. Riau",1400,2012,10,95.21,80.05,95.21,63.88,.4816667,101.4686
"Prov. Riau",1400,2012,11,100,100,100,83.09,.4816667,101.4686
"Prov. Riau",1400,2012,12,,100,100,92.7,.4816667,101.4686
"Prov. Riau",1400,2013,1,20,,,,.4816667,101.4686
"Prov. Riau",1400,2013,2,30,,,,.4816667,101.4686
"Prov. Riau",1400,2013,3,70,21,15,,.4816667,101.4686
"Prov. Riau",1400,2013,4,,,,,.4816667,101.4686
"Prov. Riau",1400,2013,5,84,36.6,25,,.4816667,101.4686
"Prov. Riau",1400,2013,6,89,40,60,,.4816667,101.4686
"Prov. Riau",1400,2013,7,91,49,70,,.4816667,101.4686
"Prov. Riau",1400,2013,8,94,56,77,,.4816667,101.4686
"Prov. Riau",1400,2013,9,97,63,81,28,.4816667,101.4686
"Prov. Riau",1400,2013,10,97,77,84,42,.4816667,101.4686
"Prov. Riau",1400,2013,11,,,,,.4816667,101.4686
"Prov. Riau",1400,2013,12,,,,,.4816667,101.4686
"Prov. Jambi",1500,2012,1,4,,,,-1.589167,103.61
"Prov. Jambi",1500,2012,2,9,,,,-1.589167,103.61
"Prov. Jambi",1500,2012,3,19,18,,,-1.589167,103.61
"Prov. Jambi",1500,2012,4,21,20,,,-1.589167,103.61
"Prov. Jambi",1500,2012,5,26,24,,,-1.589167,103.61
"Prov. Jambi",1500,2012,6,31,39,,,-1.589167,103.61
"Prov. Jambi",1500,2012,7,40,43,,,-1.589167,103.61
"Prov. Jambi",1500,2012,8,45,46,,,-1.589167,103.61
"Prov. Jambi",1500,2012,9,55,54,,,-1.589167,103.61
"Prov. Jambi",1500,2012,10,63,65,,,-1.589167,103.61
"Prov. Jambi",1500,2012,11,,,,,-1.589167,103.61
"Prov. Jambi",1500,2012,12,,,,,-1.589167,103.61
"Prov. Jambi",1500,2013,1,1,,,,-1.589167,103.61
"Prov. Jambi",1500,2013,2,10,,,,-1.589167,103.61
"Prov. Jambi",1500,2013,3,36,3,33,3,-1.589167,103.61
"Prov. Jambi",1500,2013,4,43,6,38,6,-1.589167,103.61
"Prov. Jambi",1500,2013,5,57,10.18,53,9,-1.589167,103.61
"Prov. Jambi",1500,2013,6,65,13.45,61,10.18,-1.589167,103.61
"Prov. Jambi",1500,2013,7,70,14.91,69,13,-1.589167,103.61
"Prov. Jambi",1500,2013,8,,,,,-1.589167,103.61
"Prov. Jambi",1500,2013,9,,,,,-1.589167,103.61
"Prov. Jambi",1500,2013,10,,,,,-1.589167,103.61
"Prov. Jambi",1500,2013,11,,,,,-1.589167,103.61
"Prov. Jambi",1500,2013,12,,,,,-1.589167,103.61
"Prov. Sumatera Selatan",1600,2012,1,10,,,,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,2,30,,,,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,3,50,30,5,5,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,4,70,45,10,10,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,5,80,55,20,15,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,6,85,60,30,25,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,7,95,80,45,50,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,8,98,95,55,70,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,9,100,100,70,75,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,10,,100,85,80,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,11,,100,98,95,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2012,12,,100,100,100,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,1,20,,,,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,2,30,,,,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,3,50,30,5,5,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,4,70,45,10,10,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,5,80,55,20,15,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,6,99,95,93,35,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,7,100,100,100,40,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,8,,100,100,50,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,9,,100,100,55,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,10,,,,,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,11,,,,,-2.990833,104.7567
"Prov. Sumatera Selatan",1600,2013,12,,,,,-2.990833,104.7567
"Prov. Bengkulu",1700,2012,1,,,,,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,2,,,,,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,3,,,,,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,4,7,,,,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,5,10,,,,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,6,20,6,3,,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,7,43,15,20,,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,8,49.35,42,38,,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,9,81,72,51,4,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,10,87,75,57,10,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,11,99,89.4,68,16,-3.795556,102.2592
"Prov. Bengkulu",1700,2012,12,99,89.4,85.81,85.81,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,1,,,,,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,2,.62,,,,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,3,6.23,.62,.62,,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,4,19.31,5.92,3.62,1.25,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,5,47.97,20.06,17.39,8.14,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,6,65.41,34.9,18,9,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,7,75.3,70.3,64,14.4,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,8,88.57,73,69,19.1,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,9,88.6,77.58,97.83,26.3,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,10,95.62,93.71,99.1,43.26,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,11,,,,,-3.795556,102.2592
"Prov. Bengkulu",1700,2013,12,,,,,-3.795556,102.2592
"Prov. Lampung",1800,2012,1,2.75,,,,-5.429722,105.2625
"Prov. Lampung",1800,2012,2,9.21,,,,-5.429722,105.2625
"Prov. Lampung",1800,2012,3,19.64,17.07,15,13.23,-5.429722,105.2625
"Prov. Lampung",1800,2012,4,27.68,25.12,21.71,20.29,-5.429722,105.2625
"Prov. Lampung",1800,2012,5,37.41,35.81,33.39,28.96,-5.429722,105.2625
"Prov. Lampung",1800,2012,6,50.21,49.92,46.2,41.24,-5.429722,105.2625
"Prov. Lampung",1800,2012,7,61.8,59.44,56.8,47.76,-5.429722,105.2625
"Prov. Lampung",1800,2012,8,65.73,65.12,64.68,55.63,-5.429722,105.2625
"Prov. Lampung",1800,2012,9,69.8,69.31,68.53,60.77,-5.429722,105.2625
"Prov. Lampung",1800,2012,10,,,,,-5.429722,105.2625
"Prov. Lampung",1800,2012,11,,,,,-5.429722,105.2625
"Prov. Lampung",1800,2012,12,,,,,-5.429722,105.2625
"Prov. Lampung",1800,2013,1,3.62,,,,-5.429722,105.2625
"Prov. Lampung",1800,2013,2,3.62,,,,-5.429722,105.2625
"Prov. Lampung",1800,2013,3,7.92,4.49,6.62,2.44,-5.429722,105.2625
"Prov. Lampung",1800,2013,4,20.61,13.55,12.15,12.03,-5.429722,105.2625
"Prov. Lampung",1800,2013,5,27.68,25.61,23.49,18.5,-5.429722,105.2625
"Prov. Lampung",1800,2013,6,36.99,36.17,34.47,31.97,-5.429722,105.2625
"Prov. Lampung",1800,2013,7,41.89,42.8,41.1,35.41,-5.429722,105.2625
"Prov. Lampung",1800,2013,8,53.02,52.11,51.52,50.63,-5.429722,105.2625
"Prov. Lampung",1800,2013,9,59.52,58.11,57.52,56.63,-5.429722,105.2625
"Prov. Lampung",1800,2013,10,,,,,-5.429722,105.2625
"Prov. Lampung",1800,2013,11,,,,,-5.429722,105.2625
"Prov. Lampung",1800,2013,12,,,,,-5.429722,105.2625
"Prov. Kepulauan Bangka Belitung",1900,2012,1,4.4,,,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,2,14.46,,,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,3,27.04,27.04,27.04,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,4,,34.59,34.59,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,5,,40.88,40.88,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,6,,52.83,52.83,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,7,,,,62.26,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,8,,,,72.95,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,9,,,,83.02,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,10,,,,94.34,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,11,,,,99.99,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2012,12,,,,99.99,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,1,,,,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,2,.43,,,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,3,3,3,3,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,4,6.44,6.44,6.44,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,5,30.9,18.88,18.88,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,6,44.64,35.62,35.62,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,7,55.36,46.35,46.35,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,8,64.38,58.37,58.37,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,9,75.1,67.38,67.38,,-2.1,106.1
"Prov. Kepulauan Bangka Belitung",1900,2013,10,80.69,79.83,79.83,3,-2.1,106.1
